ProjectName,FilePath,ExceptionType,InvokedMethods,ThrowException,IsCustomerExceptionThrown
anymarket-sdk-java,D:\Study\Graduate Seminar\Projects\anymarket-sdk-java\anymarket-sdk-common\src\main\java\br\com\anymarket\sdk\http\HttpService.java,IOException,,RuntimeException,false
anymarket-sdk-java,D:\Study\Graduate Seminar\Projects\anymarket-sdk-java\anymarket-sdk-common\src\main\java\br\com\anymarket\sdk\http\HttpService.java,JsonProcessingException,,RuntimeException,false
anymarket-sdk-java,D:\Study\Graduate Seminar\Projects\anymarket-sdk-java\anymarket-sdk-common\src\main\java\br\com\anymarket\sdk\http\HttpService.java,UnirestException,getCouldNotConnectException,,
anymarket-sdk-java,D:\Study\Graduate Seminar\Projects\anymarket-sdk-java\anymarket-sdk-common\src\main\java\br\com\anymarket\sdk\http\HttpService.java,IOException,println|getMessage,,
anymarket-sdk-java,D:\Study\Graduate Seminar\Projects\anymarket-sdk-java\anymarket-sdk-common\src\main\java\br\com\anymarket\sdk\http\Response.java,IOException,,RuntimeException,false
anymarket-sdk-java,D:\Study\Graduate Seminar\Projects\anymarket-sdk-java\anymarket-sdk-common\src\main\java\br\com\anymarket\sdk\http\Response.java,IOException,,RuntimeException,false
anymarket-sdk-java,D:\Study\Graduate Seminar\Projects\anymarket-sdk-java\anymarket-sdk-common\src\main\java\br\com\anymarket\sdk\http\restdsl\RestGetRequest.java,UnirestException,,RuntimeException,false
anymarket-sdk-java,D:\Study\Graduate Seminar\Projects\anymarket-sdk-java\anymarket-sdk-common\src\main\java\br\com\anymarket\sdk\http\restdsl\RestGetRequest.java,IOException,println|getMessage,,
anymarket-sdk-java,D:\Study\Graduate Seminar\Projects\anymarket-sdk-java\anymarket-sdk-common\src\main\java\br\com\anymarket\sdk\http\restdsl\RestRequestWithBody.java,UnirestException,,RuntimeException,false
anymarket-sdk-java,D:\Study\Graduate Seminar\Projects\anymarket-sdk-java\anymarket-sdk-common\src\main\java\br\com\anymarket\sdk\http\restdsl\RestRequestWithBody.java,JsonProcessingException,,RuntimeException,false
anymarket-sdk-java,D:\Study\Graduate Seminar\Projects\anymarket-sdk-java\anymarket-sdk-common\src\main\java\br\com\anymarket\sdk\http\restdsl\RestRequestWithBody.java,UnirestException,,RuntimeException,false
anymarket-sdk-java,D:\Study\Graduate Seminar\Projects\anymarket-sdk-java\anymarket-sdk-common\src\main\java\br\com\anymarket\sdk\http\restdsl\RestRequestWithBody.java,IOException,println|getMessage,,
anymarket-sdk-java,D:\Study\Graduate Seminar\Projects\anymarket-sdk-java\anymarket-sdk-common\src\main\java\br\com\anymarket\sdk\http\restdsl\RestRequestWithBody.java,UnirestException,,RuntimeException,false
anymarket-sdk-java,D:\Study\Graduate Seminar\Projects\anymarket-sdk-java\anymarket-sdk-common\src\main\java\br\com\anymarket\sdk\http\restdsl\RestRequestWithBody.java,JsonProcessingException,,RuntimeException,false
anymarket-sdk-java,D:\Study\Graduate Seminar\Projects\anymarket-sdk-java\anymarket-sdk-common\src\main\java\br\com\anymarket\sdk\http\restdsl\RestRequestWithBody.java,IOException,println|getMessage,,
anymarket-sdk-java,D:\Study\Graduate Seminar\Projects\anymarket-sdk-java\anymarket-sdk-common\src\main\java\br\com\anymarket\sdk\http\restdsl\RestRequestWithBody.java,Exception,println|getMessage,,
anymarket-sdk-java,D:\Study\Graduate Seminar\Projects\anymarket-sdk-java\anymarket-sdk-common\src\main\java\br\com\anymarket\sdk\util\SDKUrlEncoder.java,UnsupportedEncodingException,printStackTrace|error|getMessage,,
anymarket-sdk-java,D:\Study\Graduate Seminar\Projects\anymarket-sdk-java\anymarket-sdk-product\src\main\java\br\com\anymarket\sdk\product\SkuMarketPlaceService.java,HttpServerException,,,
anymarket-sdk-java,D:\Study\Graduate Seminar\Projects\anymarket-sdk-java\anymarket-sdk-product\src\main\java\br\com\anymarket\sdk\product\SkuMarketPlaceService.java,Exception,error|concat|format,NotFoundException,true
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\documents\FileFactory.java,IOException,error|getSimpleName|getClass,RuntimeException,false
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\documents\document\meta\MetaDataReader.java,ReflectiveOperationException,error|getName|toString,RuntimeException,false
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\documents\utils\FileUtils.java,FileSystemException,error,RuntimeException,false
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\documents\utils\FileUtils.java,FileSystemException,error|getSimpleName,RuntimeException,false
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\documents\utils\FileUtils.java,FileSystemException,error|getSimpleName,RuntimeException,false
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\data\test\impl\CalibrationTestManualServiceImpl.java,IOException,,IOException,false
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\data\test\impl\CalibrationTestServiceImpl.java,IOException,error|getMessage|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\data\test\impl\CalibrationTestServiceImpl.java,IOException,error|getMessage|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\BBIFileServiceFacadeImpl.java,DecoderException,,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\BBIFileServiceFacadeImpl.java,NoSuchElementException,info,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\BBIFileServiceFacadeImpl.java,Exception,info,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\BBIFileServiceFacadeImpl.java,NoSuchElementException,info,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\BBIFileServiceFacadeImpl.java,IOException,info,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\BBIFileServiceFacadeImpl.java,Exception,info,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorEmployeeServiceImpl.java,ParseException,error|getMessage,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorEmployeeServiceImpl.java,ParseException,error|getMessage,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,,IllegalArgumentException,false
